key,en,fr,fr_CA,fr_FR,da,ru,sv,de,es,pt
Referee2,Referee 2,Arbitre 2,,,Dommer 2,Рефери 2,Domare 2,Kampfrichter 2,Juez 2,Árbitro 2
Referee3,Referee 3,Arbitre 3,,,Dommer 3,Рефери 3,Domare 3,Kampfrichter 3,Juez 3,Árbitro 3
RefereeDecisions,Referee Decisions,Décisions des officiels,,,Dommer Afgørelse,Решение рефери,Domarbeslut,Kampfrichter Entscheidungen,Decisiones de los jueces,Decisões do Árbitro
Referees_Jury,Referees and Jury,Arbitres et Jury,,,Dommere og jury,Рефери и жюри,Domare och Jury,Kampfrichter und Jury,Jueces y jurado,Árbitros e Júri
RefreshList,Refresh list,Rafraîchir,,,Opfrisk liste,Обновить список,Uppdatera lista,Aktualisiere die Liste,Actulizar lista,Atualizar lista
Registration,Registration,Inscriptions,,,Registreringer,Регистрация,Registrering,Anmeldung,Inscripciones,Cadastro
Reload_group,Reload group from database.,Recharger le groupe à partir de la base de données,,,Genindlæs gruppe fra database,Перезагрузить поток из базы данных,Ladda om gruppen från databasen.,Neuladen der Gruppen aus der Datenbank,Recargar los grupos en la base de datos.,Recarregar grupo de uma base de dados.
reloadTranslation,Reload translation file,Recharger le fichier de traduction,,,Reload translation file,Загрузка файла перевода,Ladda om språkfil,Neuladen der Übersetzungsdatei,Recargar el Archivo de Traducción,Recarregar arquivo de tradução
reloadTranslationInfo,"Click to reload the translation file, then refresh your pages (F5).","Cliquer pour recharger le fichier de traduction, puis raffraîchir les pages.",,,"Click to reload the translation file, then refresh your pages (F5).","Нажмите для загрузки файла перевода, затем обновите страницу (F5).",Klicka för att ladda om språkfil och uppdatera sedan sidan (F5).,Klicke um die Übersetzungsdatei neu zu laden und lade deine Seiten neu (F5).,"Haga clic para volver a cargar el archivo, luego actualize sus paginas (F5).","Clique para recarregar o arquivo de tradução, em seguida, atualizar suas páginas (F5)."
Requested_weight,Requested Weight,Poids demandé,,,Ønsket vægt,Заявленный вес,Önskad vikt,Angefordertes Gewicht,Peso Solicitado,Peso Solicitado
Reset1min,Reset to 1 min,Réinitialiser à 1 min.,,,Reset til 1 min,Сбросить до 1 мин.,Återställ till 1 min,Reset auf 1 min,Reiniciar a 1 min,Redefinir para 1 min
Reset2min,Reset to 2 min,Réinitialiser à 2 min.,,,Reset til 2 min,Сбросить до 2 мин.,Återställ till 2 min,Reset auf 2 min,Reiniciar a 2 min,Redefinir para 2 min
ResultDocuments,Result Documents,Documents de résultats,,,Resultatdokumenter,Результаты и документы,Resultat dokument,Ergebnislisten,Resultado Documento,Resultados
Results,Results,Résultats,,,Resultater,Результаты,Resultat,Ergebnisse,Resultados,Resultados
ResumeCompetition,Resume Competition,Redémarrer la compétition,,,Genoptag konkurrence,Продолжить соревнования,Återuppta tävling,Wettkampf fortsetzen,Resume Compeencia,Retomar a Competição
robi,Robi,Robi,,,Robi,Роби,Robi,Robi,Robi,Robi
RuleViolation.declarationValueTooSmall,Lift {0} : Value {1} for declaration must be greater than or equal to the automatic progression ({2}).,Lever {0} : Le poids {1} déclaré doit être plus grand ou égal au poids de la progression automatique ({2}),,,Løft {0} : Værdi {1} skal være større end eller lig den automatiske øgning ({2}).,Попытка {0} : Значение {1} для заявки должно быть больше или равно автоматической надбавке({2}).,Lift {0} : Värdet {1} för begärd vikt måste vara större eller lika som den automatiska höjningen ({2}).,Hebung {0} : Wert {1} für die Meldung muss größer oder gleich der automatischen Steigerung sein ({2}).,Levantamiento {0} : El valor {1} declarado debe ser mayor o igual que la progresión automótica ({2}),Levantamento {0}: O Valor {1} da declaração deve ser maior ou igual à progressão automática ({2}).
RuleViolation.declaredChangesNotOk,Lift {0} : Value {1} for changes must be greater than or equal to the automatic progression ({2}).,Lever {0} : Le changement {1} doit être plus grand ou égal au poids de la progression automatique ({2}).,,,Løft {0} : Værdi {1} for øgning skal være større end eller lig den automatiske øgning ({2}).,Попытка {0} : Значение {1} для перезаявки должно быть больше или равно автоматической надбавке({2}).,Lyft {0}: Värde {1} för ändringar måste vara större än eller lika med den automatiska höjningen ({2}).,Hebung {0} : Wert {1} für Änderungen muss größer oder gleich der automatischen Steigerung sein({2}).,Levantamiento {0} : El valor {1} para los cambios debe ser mayor o igual que la progresión automótica ({2}).,Levantamento {0}: Valor {1} para alterações deve ser maior ou igual à progressão automática ({2}).
RuleViolation.liftValueBelowProgression,Lift {0} : Value {1} for lift must be greater than or equal to the automatic progression ({2}).,Lever {0} : Le lever ({1}) doit être plus grand ou égal au poids de la progression automatique ({2}).,,,Løft {0} : Værdi {1} for løft skal være større end eller lig den automatiske øgning ({2}),Попытка {0} : Значение {1} для попытки должно быть больше или равно автоматической надбавке({2}).,Lyft {0}: Värde {1} för lyft måste vara större än eller lika med den automatiska höjningen ({2}).,Hebung {0} : Wert {1} für die Hebung muss größer oder gleich der automatischen Steigerung sein({2}).,Levantamiento {0} : El valor {1} para la alzada debe ser mayor o igual que la progresión automótica ({2}).,Levantamento {0}: Valor {1} para o Levantamento deve ser maior ou igual à progressão automática ({2}).
RuleViolation.liftValueNotWhatWasRequested,Lift {0} : Value {1} for lift must match requested amount ({2}).,Lever {0} : Le poids {1} du lever doit correspondre au poids demandé ({2}).,,,Løft {0} : Værdi {1} for løft skal matche det opgivede ({2}).,Попытка {0} : Значение {1} для попытки должно соответствовать заявленному({2}).,Hiss {0}: Värde {1} för hiss måste matcha det begärda vikten ({2}).,Hebung {0} : Wert {1} für die gewünschte Last der Hebung ({2}).,Levantamiento {0} : El valor {1} para la alzada debe coincidir con el valor solicitado ({2}).,Levantamento {0}: Valor {1} para o Levantamento deve corresponder ao valor solicitado ({2}).
RuleViolation.rule15_20Violated,Starting weight rule violation: Missing {5}kg.,Violation de la règle des poids initiaux: Il manque {5}kg.,,,Overtrædelse af reglen om indledende vægte: Der mangler {5}kg.,Нарушение правила стартового веса: не хватает {5}кг,Totalviktsregel brott: Saknar {5}kg.,Anfangslast Regelverletzung: Vermisse {5}kg.,Violación de la regla de peso inicial: Falta {5}kg.,Regra de Início Violada: Faltando {5} kg.
RunLiftingGroup,Run Lifting Group,Groupe de compétition,,,Kør gruppe,Запуск потока,Kör lyftgrupp,Starte Hebergruppe,Grupo de Competencia,Executar Competição
RunLiftingGroup_description,"<li><b>{0}</b>: Start the screens for the announcer, the marshall, the timekeeper. The announcer controls which group is shown on the displays.</li>","<li><b>{0}</b>: Lancer les écrans pour les officiels (annonceur, chrono, préposé aux changements). L''annonceur choisit le groupe en cours.</li>",,,"<li><b>{0}</b>: Start skærmbillede for speaker, marshall, timekeeper. Speakeren styrer hvilken gruppen der vises på displays og skærme.</li>","<li><b>{0}</b>: Запустите экраны для судьи-информатора, судьи на перезаявках и судьи-хронометриста. Судья-информатор контролирует какой поток отображается на экранах.</li>","<li> <b> {0} </b>: Starta skärmarna för Speaker, Sekreterare, Tidtagare. Speaker styr vilken grupp som visas på skärmarna. </li>","<li><b>{0}</b>: Starte die Anzeigen für Sprecher, Steigerung und Zeitnehmer. Der Sprecher kontrolliert welche Gruppe angezeigt wird.</li>","<li><b>{0}</b>: Iniciar la pantalla para locutor, el marshall, el timekeeper. El locutor controla que grupo se muestra en las pantallas.</li>","<li><b>{0}</b>: Inicia as telas para o Locutor, Marshall e o Cronometrista. O locutor controla qual grupo é exibido nas TVs.</li>"
Scoreboard,Scoreboard,Tableau de résultats,,,Scoreboard,Таблица результатов,Resultattavla,Anzeigetafel,Marcador,Placar
Scoreboard.AgeGroup,Age Gr.,Gr. Age.,<nobr>Gr. Age.</nobr><div class='english'><nobr>Age Gr.</nobr></div>,,Aldesgruppe,Возрастная категория,Åldersgrupp,Alterskl.,Grupos por edades,Idade Gr.
Scoreboard.AttemptsDone,"{0,choice,0#No attempts done.|1#1 attempt done.|1<{0} attempts done.}","{0,choice,0#Aucun essai.|1#1 essai effectué.|1<{0} essais effectués.}",,,"{0,choice,0#Ingen løft afviklet.|1#1 løft afviklet.|1<{0} løft afviklet.}",Всего попыток выполнено: {0},"{0,choice,0#Inga försök gjorda.|1#1 försök gjort. |1<{0} gjorda försök.}","{0,choice,0#Keine Versuche fertig.|1#1 Versuch fertig.|1<{0} Versuche fertig.}","{0,choice,0#No se hicieron intentos.|1#1 intento hecho.|1<{0} intetos ralizados.}","{0,choice,0#Nenhuma Tentativa Concluída.|1#nº 1 Tentativa Concluída.|1<{0} Tentativas Concluídas.}"
Scoreboard.Birth,Born,Naiss.,Naiss.<div class='english'>Born</div>,,Født,Год,Född,Gebohren,Nacimiento,Nascimento
Scoreboard.BodyWeight,B.W.,Poids,,,Vægt,С.В.,B.W.,Kgw.,P. C.,B. W.
Scoreboard.Category,Cat.,Cat.,Cat.,,Vægtklasse,Кат.,Klass,Gwkl.,Cat.,Categoria
Scoreboard.Clean_and_Jerk,Clean&amp;Jerk,Épaulé-jeté,Épaulé-jeté<div class='english'>Clean&amp;Jerk</div>,,Stød,Толчок,Stöt,Stossen,Envión,Arremesso
Scoreboard.GroupLiftType,Group {0} {1},Groupe {0} {1},,,Gruppe {0} {1},Поток {0}. {1},Grupp{0} {1},Gruppe {0} {1},Grupo {0} {1},Grupo {0} {1}
Scoreboard.KgSymbol,kg,kg,,,kg,\u0020кг,kg,kg,kg,kg
Scoreboard.LiftingOrder,Lifting Order,Ordre de passage,,,Rækkefølge,Очередность выполнения попыток,Lyftordning,Reihenfolge,Orden en competencia,Ordem de Levantamento
Scoreboard.Name,Name,Nom,Nom<div class='english'>Name</div>,,Navn,"Фамилия, Имя",Namn,Name,Nombre,Nome
Scoreboard.Needed,Kg Needed,Kg Requis,,,Kg fra 1. plads,Кг Необходимо,Kg behövs,Kg wird benötigt,Kg Necesario,Kg Necessário
Scoreboard.NextAttempt,Next Attempt,Prochain essai,,,Næste forsøg,Следующая попытка,Nästa försök,Nächster Versuch,Proximo Intento,Próxima Tentativa
Scoreboard.Rank,Rank,Rang,Rang<div class='english'>Rank</div>,,Placering,Место,Rank,Platz,Posición,Classificação
Scoreboard.RequestedWeight,Requested Weight,Poids Demandé,,,Ønsket vægt,Заявленный вес,Önskad vikt,Benötigtes Gewicht,Peso solicitado,Peso Solicitado
Scoreboard.Sinclair,Sinclair,Sinclair,,,Sinclair,Синклер,Sinclair,Sinclair,Sinclair,Sinclair
Scoreboard.Snatch,Snatch,Arraché,Arraché<div class='english'>Snatch</div>,,Træk,Рывок,Ryck,Reissen,Arr.,Arranco
Scoreboard.Start,Start,Départ,Départ<div class='english'>Start</div>,,Start,Номер,Start,Startnr.,Empezar,Próximo
Scoreboard.Team,Team,Équipe,Équipe<div class='english'>Team</div>,,Hold,Команда,Förening,Verein,Equipo,Equipe
Scoreboard.TopSinclair,Top Sinclair,Meilleurs Sinclair,,,Top Sinclair,Результаты (Синклер),Bästa Sinclair,Top Sinclair,Top Sinclair,Top Sinclair
Scoreboard.TopSinclairMen,Top Sinclair &ndash; Men,Meilleurs Sinclair &ndash; Hommes,,,Top Sinclair &ndash; Mænd,Синклер &ndash; Мужчины,Bästa Sinclair &ndash; Herrar,Top Sinclair &ndash; männlich,Mejor Sinclair; Masculino,Melhor Sinclair; Masculino
Scoreboard.TopSinclairWomen,Top Sinclair &ndash; Women,Meilleurs Sinclair &ndash; Femme,,,Top Sinclair &ndash; Kvinder,Синклер &ndash; Женщины,BästaSinclair &ndash; Damer,Top Sinclair &ndash; weiblich,Mejor Sinclair; Femenino,Melhor Sinclair; Feminino
Scoreboard.Total,Total,Total,Total,,Tokamp,Сумма,Total,Gesamt,Total,Total
Select_group_first,Please select a group first.,Il faut d'abord choisir un groupe.,,,Vælg en gruppe først.,Выберите поток.,Vänligen välj grupp först.,Bitte erst eine Gruppe wählen,"Por favor, selecciona primero una tanda.","Por favor, selecione um grupo em primeiro lugar."
SelectPlatform,Select Platform,Choisir la plateforme,,,Vælg platform,Выберите помост,Vald plattform,Bohle wählen,Seleccionar Plataforma,Selecionar Plataforma
Semicolon,\u003B,\u003B,,,\u003B,\u003B,\u003B,\u003B,\u003B,\u003B
SeparateLaptops,</ul>Each of the various screens or displays uses a separate laptop or mini-pc.,</ul>Chacun des écrans ou affichages requiert un portable ou mini-pc.,,,</ul>Hver enkelt skærm/display køres på egen pc eller mini-pc.,</ul>Каждый из различных экранов использует отдельный ноутбук или ПК.,</ul>Alla av dom olika skärmarna använder en separat dator,</ul>Jeder der verschiedenen Bildschirme oder Anzeigen verwendet einen separaten Laptop oder Mini-PC.,</ul>Cada una de las diferentes pantallas o pantallas utiliza una laptop o mini-pc.,</ul>Cada uma das várias telas ou monitores usa um laptop separado ou mini-pc.
ShowResults,Show Results,Afficher les résultats,,,Vis resultater,Показать результаты,Visa resultat,Zeige Ergebnisse,Mostrar resultados,Mostrar Resultados
sinclair,Sinclair,Sinclair,,,Sinclair,Синклер,Sinclair,Sinclair,Sinclair,Sinclair
smm,SMM,SMM,,,SMM,СММ,SMF,SMM,SMM,SMM
Snatch,Snatch,Arraché,,,Træk,Рывок,Ryck,Reissen,Arranque,Arranco
Snatch_Declaration,Snatch Declaration,Déclaration Arraché,,,Træk deklareret,Начальный вес в рывке,Ingång Ryck,Meldung Reissen,Declaracion Arranque,Declaração Arranco
Snatch_number,Snatch #{0},Arraché #{0},,,Træk  #{0},Рывок {0},Ryck #{0},Reissen #{0},Arranque #{0},Arranco #{0}
Snatch_short,Sn.,Arr.,,,Træk,Р.,Sn.,Rs.,Arranque.,Arr.
Snatch1,snatch 1,Arraché 1,,,Træk 1,Р1,ryck 1,Reissen 1,Arranque 1,1º Arranco
Snatch2,snatch 2,Arraché 2,,,Træk 2,Р2,ryck 2,Reissen 2,Arranque 2,2º Arranco
Snatch3,snatch 3,Arraché 3,,,Træk 3,Р3,ryck 3,Reissen 3,Arranque 3,3º Arranco
SnatchDecl_,Snatch Decl.,Décl. Arr.,,,Træk dekl.,Рывок,Ingång Ryck,Reissen Mldg.,Arranque Decl.,Arranco Decl.
SnatchRank,Snatch Rank,Rang Arr.,,,Træk rang,Место (Р),Ranking Ryck,Reissen Platz,Clasificación Arranque,Arranco Ranking
SourceDocumentation,Source and Documentation,Code source et documentation,,,Source og dokumentation,Исходные коды и документация,Källa och Dokumentation,Source und Documentation,Fuente y Documentación,Fonte e Documentação
Speakers,Audio Output,Sortie audio,,,Lydudgang,Аудио-выход,Ljudutgång,Audio Output,Salida de audio,Saída de áudio
Start_,Start#,#Départ,,,Startnr.,Стартовый №,Start#,Startnr.,Iniciar#,Começar
StartCountdown,Start Break Countdown Timer,Démarrer le chronomètre de pause,,,Start Break Countdown Timer,Запустить таймер,Starta paus nedräkning,Start Break Countdown Timer,Iniciar el temporizador de cuenta regresiva,Iniciar Pausa Temporizador
StartDisplays,Start Displays,Démarrer les affichages,,,Start Displays,Запуск экранов,Start skärmar,Starte Anzeigen,Pantallas de Inicio,Tela de início
 ,"<li><b>{0}</b>: Used to start the attempt board, the athlete-facing board, and the scoreboard.</li>","<li><b>{0}</b>: Lancer les tableaux de résultats, l''affichage de l''essai courant, et l''affichage pour l''athlète.</li>",,,"<li><b>{0}</b>: Bruges til at starte Attempt board, Atlet-vendt Attempt Board og Scoreboard.</li>","<li><b>{0}</b>: Используется для запуска экрана попытки, экрана атлета и таблицы результатов.</li>","<li> <b> {0} </b>: Används för att starta försökstavla, atlet skärm och resultattavlan. </li>","<li><b>{0}</b>: Dient zum Starten der Versuchsanzeige, der Anzeige für den Athleten und der Anzeigetafel.</li>","<li><b>{0}</b>: Usa para iniciar el tablero de intentos, el tablero que mira el atleta, y el marcador.</li>","<li><b>{0}</b>: Usado para iniciar o painel de tentativas, o painel voltado para o atleta e a sumula.</li>"
StartingList,Starting List,Liste de départ,,,Startliste,Стартовый протокол,Start lista,Startliste,Lista de inicio,Lista Inicial
StartingWeightsSheet,Starting Weights Sheet,Barres de départ,,,Startvægte,Таблица стартовых весов,Startprotokoll,Anfangslast Tabelle,Pesos iniciales,Tabela de Peso Inicial
startLifting,Start Lifting,Débuter les levers,,,Begynd konkurrencen,Начало соревнования,Start Lifting,Beginne Hebung,Iniciar Levantamiento,Iniciar Competição
StartNumber,Start Number,Numéro de départ,,,Startnummer,Стартовый номер,Start nummer,Startnr.,Numero inicio,Número inicial
StartTime,Start Time,Heure de début,,,Starttid,Время начала,Start tid,Startzeit,Hora de comienzo,Hora de Início
StopCompetition,Stop Competition,Arrêter la compétition,,,Stop konkurrencen,Остановить соревнования,Stoppa tävlingen,Stoppe Wettkampf,Parar Competencia,Parar Competição
SystemURL,The competition system is reachable using the following address(es):,Le système est accessible en spécifiant:,,,The competition system is reachable using the following address(es):,Система управления соревнованиями доступна по следующим адресам:,Tävlingssystemet kan nås via följande adresser:,Das Wettkampfsystem ist unter folgender (n) Adresse (n) erreichbar:,Se puede acceder al sistema de competenci utilizando la siguiente dirección(es):,Para acessar o sistema de competição use o (s) seguinte (s) endereço (s):
TCRRCompliance,This software is meant to comply with the IWF Technical Competition Rules and Regulations (TCRR) and with the Masters Weightlifting rules,"Ce logiciel respecte les règles techniques de compétition IWF (TCRR) en vigueur à sa publication, ainsi que les règles de la fédération Masters Weightlifting.",,,This software is meant to comply with the IWF Technical Competition Rules and Regulations (TCRR) and with the Masters Weightlifting rules,Это программное обеспечение предназначено для соблюдения технических правил и правил соревнований IWF (TCRR) и правил тяжелой атлетики для ветеранов,This software is meant to comply with the IWF Technical Competition Rules and Regulations (TCRR) and with the Masters Weightlifting rules,Diese Software muss den Technischen Wettbewerbsregeln und -bestimmungen (TCRR) der IWF und den Masters Weightlifting-Regeln entsprechen,Este software esta destinado a cumplir con las reglas y regulaciones tecnicas de la IWF y (TCRR) y con Masters Weightlifting reglas,Este software destina-se a cumprir as Regras Técnicas IWF competição e Regulamentos (TCRR) e com as regras Mestres do Halterofilismo e 
Team,Team,Équipe,,,Klub,Команда,Förening,Verein,Equipo,Equipe
TechnicalController,Technical Controller,Contrôleur Technique,,,Teknisk kontrollant,Технический контролер,Teknisk kontrollant,Technischer Kontrolleur,Controlador Técnico,Controlador Técnico
ThanksToAll,"Special thanks to Anders Bendix Nielsen, Alexey Ruchev and Brock Pedersen for feedback and testing.<br>","Merci à Anders Bendix Nielsen, Alexey Ruchev et Brock Pedersen pour leurs commentaires et leurs essais.<br>",,,"Special thanks to Anders Bendix Nielsen, Alexey Ruchev and Brock Pedersen for feedback and testing.<br>","Особая благодарность Андерсу Бендиксу Нильсену, Алексею Ручьеву и Броку Педерсену за обратную связь и тестирование.<br>","Special thanks to Anders Bendix Nielsen, Alexey Ruchev and Brock Pedersen for feedback and testing.<br>","Besonderer Dank geht an Anders Bendix Nielsen, Alexey Ruchev und Brock Pedersen für das Feedback und die Tests.<br>","Un agradecimiento especial a Anders Bendix Nielsen, Alexey Ruchev y Brock Pedersen por sus comentarios y pruebas. <br>","Um agradecimento especial a Anders Bendix Nielsen, Alexey Ruchev e Brock Pedersen para feedback e testes.<br>"
ThanksToFHQ,Thanks to the Quebec Weightlifting Federation for supporting the initial development of the software.,Merci à la Fédération d'haltérophilie du Québec d'avoir soutenu le développement initial du projet.,,,Thanks to the Quebec Weightlifting Federation for supporting the initial development of the software.,Спасибо федерации тяжелой атлетики Квебека за поддержку разработки программного обеспечения.,Thanks to the Quebec Weightlifting Federation for supporting the initial development of the software.,Vielen Dank an die Quebec Weightlifting Federation für die Unterstützung bei der ersten Entwicklung der Software.,Gracias a la Federación de Halterofilia de Quebec por apoyar el desarrollo inicial del software.,Graças à Federação Quebec de Halterofilismo por apoiar o desenvolvimento inicial do software.
Timekeeper,Timekeeper,Chronométreur,,,Tidtager,Судья-хронометрист,Tidtagare,Zeitnehmer,Cronometrador,Cronômetro
TimingStatistics,Timing Statistics,Statistiques de durée,,,Timing Statistik,Статистика,Tidsstatistik,Zeitstatistik,Estadísticas de Tiempo,Estatísticas de Tempo
TOScreens,Technical Official Screens (select the correct platform above before clicking),Écrans des officiels (choisir le plateau ci-dessus avant de cliquer),,,Technical Official Screens (vælg korrekt platform inden du klikker),Официальные технические экраны (выберите правильный помост перед нажатием),Tekniskt officiella skärmar (välj rätt plattform ovan innan du klickar),"Technische offizielle Bildschirme (wählen Sie die richtige Plattform aus, bevor Sie klicken)",Pantallas oficiales técnicas (seleccione la plataforma correcta arriba antes de hacer clic),Telas Técnicas Oficiais (selecione a plataforma correta acima antes de clicar)
Total,Total,Total,,,Tokamp,Сумма,Total,Gesamt,Total,Total
Translation,Translation,Traduction,,,Oversættelse,Перевод,Översättning,Übersetzung,Traducción,Tradução
TranslationDocumentation,<li>Contribute by translating the application to your own language: see the <a href='https://owlcms.github.io/owlcms4/#/Translation'>translation documentation</a>.,<li>Traduire l'application dans votre propre langue: voir la  <a href='https://owlcms.github.io/owlcms4/#/Translation'>documentation de traduction</a>.,,,<li>Contribute by translating the application to your own language: see the <a href='https://owlcms.github.io/owlcms4/#/Translation'>translation documentation</a>.,Переведите приложение на свой собственный язык: см. <a href='https://owlcms.github.io/owlcms4/#/Translation'> перевод документации</a>.,<li>Contribute by translating the application to your own language: see the <a href='https://owlcms.github.io/owlcms4/#/Translation'>translation documentation</a>.,"<li>Tragen Sie dazu bei, indem Sie die Anwendung in Ihre Sprache übersetzen: siehe <a href='https://owlcms.github.io/owlcms4/#/Translation'>Dokumentation Überstzung</a>.",<li> Contribuya traduciendo la aplicación a su propio idioma: consulte la <a href='https://owlcms.github.io/owlcms4/#/Translation'> documentación de traducción </a>.,<li> Contribua traduzindo o aplicativo para o seu próprio idioma: consulte a <a href='https://owlcms.github.io/owlcms4/#/Translation'> documentação de tradução </a>.
Unexpected_Logging,Unexpected event: {} in state {},Événement inattendu: {} dans l'état {},,,Unexpected event: {} in state {},Неожиданное событие: {} в состоянии {},Unexpected event: {} in state {},Unerwartetes Ereignis: {} im Zustand {},Evento inesperado: {} en estado {},Evento inesperado: {} no estado {}
Unexpected_Notification,Unexpected event: {0} in state {1},Événement inattendu: {0} dans l''état {1},,,Unexpected event: {0} in state {1},Неожиданное событие: {0} в состоянии {1},Unexpected event: {0} in state {1},Unerwartetes Ereignis: {} im Zustand {1},Evento inesperado: {0} en estado {1},Evento inesperado: {0} no estado {1}
Update,Update,Modifier,,,Opdatér,Обновить,Uppdatera,Update,Actualizar,Atualizar
Update_title,Update {0},Modifier {0},,,Opdatér {0},Редактировать,Uppdatera {0},Update {0},Actualizar {0},Atualização {0}
UploadRegistrationFile,Upload Registration File,Charger le fichier d'inscription,,,Upload Registreringsfil,Загрузить файл регистрации,Ladda upp registreringsfil,Upload Anmelde Datei,Suvir Archivo de Registro,Carregar Arquivo de Registro
UploadRegistrations,Upload Completed Registration Spreadsheet,Charger un fichier d'inscription,,,Upload udfyldt Registrerings-Excelfil,Загрузить файл регистрации,Ladda upp fullbordad registreringsfil,Lade die fertige Registrierungstabelle hoch,Carga la hoja de Calculo completa,Carregar Arquivo de Registro
UseAtYourOwnRisk,\u0020are responsible for performing whatever tests are need to establish that the software is fit for your circumstances.,\u0020êtes responsable d'effectuer les tests requis pour établir que le logiciel répond à vos besoins.,,,\u0020are responsible for performing whatever tests are need to establish that the software is fit for your circumstances.,\u0020несете ответственность за выполнение любых тестов,\u0020are responsible for performing whatever tests are need to establish that the software is fit for your circumstances.,"\u0020sind für die Durchführung aller erforderlichen Tests verantwortlich, um festzustellen, ob die Software für Ihre Umstände geeignet ist.",\ u0020 son responsables de realizar las pruebas necesarias para establecer que el software es adecuado para sus circunstancias.,\ u0020são responsáveis ​​por executar os testes necessários para estabelecer que o software é adequado às suas circunstâncias.
UseBrowserSound,Use Browser Sound,Utiliser le son des navigateurs,,,Anvend browser lyd,Использовать звук браузера,Använd webläsarens ljud,Benutze Browser Sound,Usar el sonido del Navegador,Use Som do Navegador
Warning_ClearAthleteLifts,This will clear all lifting data for the athletes currently displayed except for initial declarations.<br>Are you sure?,Ceci va vider les essais pour les athlètes actuellement affichés<br>Êtes-vous certain?,,,Dette vil slette alle løft for de viste atleter bortset fra deres startvægte.<br>Er du sikker?,"Это очистит все данные о попытках для спортсменов, которые в настоящее время отображаются, за исключением заявленных весов. <br>Вы уверены?",Detta kommer att rensa all lyftdata för atleterna som visas förutom ingångsvikterna. <br> Är du säker?,Dadurch werden alle Heberdaten für die aktuell angezeigten Athleten mit Ausnahme der Erstdeklarationen gelöscht.<br>Bist du sicher?,Esto borrará los datos de levantamiento de los atletas que se muestran actualmente excepto las declaraciones iniciales.<br>Estas seguro?,"Isso apagará todos os dados de levantamento dos atletas exibidos atualmente, exceto as declarações iniciais.<br>Você tem certeza?"
Warning_DeleteAthletes,This will delete the athletes currently displayed from the database.<br>Are you sure?,Ceci va effacer les athlètes actuellement affichés<br>Êtes-vous certain?,,,Dette vil slette de viste atleter fra databasen.<br>Er du sikker?,"Это приведет к удалению спортсменов, отображаемых в настоящее время из базы данных <br>Вы уверены?",Detta kommer att radera alla atleter som visas från databasen. <br> Är du säker?,Dadurch werden die aktuell angezeigten Athleten aus der Datenbank gelöscht.<br>Bist du sicher?,Esto eliminara los atletas que se muestran actualmente de la base de datos.<br>Estós Seguro?,Isso excluirá todos os dados dos atletas nos grupos atualmente selecionados. <br> Você tem certeza?
Warning_GroupLifting,This group is currently lifting on platform,Ce groupe est actuellement en compétition sur le plateau,,,Denne gruppe løfter pt på platformen,Соревнования потока начались,Denna grupp lyfter på platform,Diese Gruppe hebt momentan auf Bohle,Este grupo actualmente esta levantando en la plataforma,Este grupo está atualmente competindo na plataforma
Weighed,Weighed,Pesés,,,Indvejet,Прошел взвешивание,Invägd,Gewogen,Pesado,Pesou
Weighed_in_p,Weighed-In?,Pesés ?,,,Indvejet?,Взвешивание,Vägt in?,Wiegen?,Pesado en?,Pesado?
WeighIn,Weigh-In,Pesée,,,Indvejning,Взвешивание,Vägt in,Wiegen,Pesaje,Pesagem
WeighIn_StartNumbers,Weigh-In and Start Numbers,Pesée et numéros de départ,,,Indvejning og Startnumre,Взвешивание и стартовые номера,Invägning och Start nummer,Wiegen und Startnummern,Pesaje y números de Inicio,Pesar e Iniciar Sorteio
WeighInTime,Weigh-in Time,Heure de pesée,,,Indvejningstidspunkt,Время взвешивания,Vägt in Tid,Wiege Zeit,Hora de pesaje,Tempo de Pesagem
Weight_change_current_athlete,Weight change for current athlete<br>{0},Changement pour l''athlète courant<br>{0},,,Vægtændring for nuværende atlet<br>{0},Перезаявка для {0},Vikt ändring för nuvarande atlet<br>{0},Steigerung für den aktuellen Athleten<br>{0},Cambio de Peso para el Atleta Actual<br>{0},Alteração de peso para o atleta atual<br>{0}
Weight_under_350,Weight should be between 0 and 350kg,Le poids doit être compris entre 0 et 350kg,,,Vægt skal være mellem 0 og 350 kg,Вес должен быть между 0 и 350 кг,Vikten bör vara mellan 0 och 350 kg,Gewicht sollte zwischen 0 und 350kg liegen,El peso entre 0 y 350kg,O peso deve ser entre 0 e 350 kg
WeightLifted,Weight Lifted,Poids soulevé,,,Vægt løftet,Засчитанный вес,Vikt lyft,Gewicht gehoben,Peso Levantado,Peso Levantado
Wired,\u0020(wired),\u0020(cablé),,,\u0020(kablet),\u0020(кабель),\u0020(wired),\u0020(verkabelt),\u0020(wired),\u0020(fio)
Wireless,\u0020(wireless),\u0020(sans fil),,,\u0020(wireless),\u0020(беспроводной),\u0020(wireless),\u0020(kabellos),\u0020(wireless),\u0020(Rede sem fio)
Withdrawal,Withdrawal,Retrait,,,Afstå (withdrawal),Отказ от продолжения,Utträde,Rückzug,Retirar,Retirada
WorldRecord,World Record,Record du monde,,,Verdensrekord,Мировой рекорд,Världsrekord,Weltrekord,Record Mundial,Recorde Mundial
