key,en,en_US,en_CA,es,es_419,es_ES,es_SV,es_EC,fr,fr_CA,fr_FR,pt,ru,de,sv,da,fi,no,fo,hu,ro,pl,hy,he,ar,el,ja,zh_HANT,et,ia,,
ExportDatabase.UploadLabel,Replace database content using an exported JSON file,,,Reemplazar el contenido de la base de datos con un archivo JSON exportado,,Reemplazar el contenido de la base de datos con un archivo JSON exportado,Reemplazar el contenido de la base de datos con un archivo JSON exportado,Reemplazar el contenido de la base de datos con un archivo JSON exportado,Remplacer le contenu de la base de données en utilisant un fichier d'export,,,Substitua o conteúdo do banco de dados usando um arquivo JSON exportado,Замените содержимое базы данных с помощью экспортированного файла JSON,Ersetze den Datenbankinhalt mit einer exportierten JSON Datei,Byta ut databas innehåll mot en exporterad JSON fil,Erstat database indhold vha eksporteret JSON fil,Korvaa tietokannan sisältö viedyllä JSON-tiedostolla,Erstatt databaseinnhold med en eksportert JSON-fil,Replace database content using an exported JSON file,Cserélje le az adatbázis tartalmát egy exportált JSON-fájl használatával,Înlocuiți conținutul bazei de date folosind un fișier JSON exportat,Replace database content using an exported JSON file,Փոխարինեք տվյալների բազայի բովանդակությունը՝ օգտագործելով արտահանված JSON ֆայլ,החלף תוכן מסד נתונים באמצעות קובץ JSON מיוצא,استبدال محتوى قاعدة البيانات باستخدام ملف JSON تم تصديره,Αντικαταστήστε το περιεχόμενο της βάσης δεδομένων χρησιμοποιώντας ένα εξαγόμενο αρχείο JSON,エクスポートしたJSONファイルでデータベース内容を置き換え,使用匯出的 JSON 檔案取代資料庫內容,Andmebaasi sisu asendamine eksporditud JSON-faili abil,604,,Replace database content using an exported JSON file
ExportDatabase.WarningWillReplaceAll,WARNING: This will erase and replace all the data in the database,,,ADVERTENCIA: Esto borrará y reemplazará todos los datos en la base de datos.,,ADVERTENCIA: Esto borrará y reemplazará todos los datos en la base de datos.,ADVERTENCIA: Esto borrará y reemplazará todos los datos en la base de datos.,ADVERTENCIA: Esto borrará y reemplazará todos los datos en la base de datos.,ATTENTION: Ceci va effacer et remplacer toutes les données de la base de données.,,,AVISO: Isso apagará e substituirá todos os dados no banco de dados,ПРЕДУПРЕЖДЕНИЕ: Это приведет к удалению и замене всех данных в базе данных,WARNUNG: Das wird alle Daten in der Datenbank löschen und ersetzen,WARNING: This will erase and replace all the data in the database,WARNING: This will erase and replace all the data in the database,VAROITUS: Tämä poistaa ja korvaa kaikki tietokannan tiedot,ADVARSEL: Dette vil slette og erstatte alle dataene i databasen,WARNING: This will erase and replace all the data in the database,FIGYELMEZTETÉS: Ez törli és cseréli az adatbázisban lévő összes adatot,AVERTISMENT: Acest lucru va șterge și va înlocui toate datele din baza de date,WARNING: This will erase and replace all the data in the database,ԶԳՈՒՇԱՑՈՒՄ. Սա կջնջի և կփոխարինի տվյալների բազայի բոլոր տվյալները,אזהרה: זה ימחק ויחליף את כל הנתונים במסד הנתונים,تحذير: سيؤدي هذا إلى مسح واستبدال جميع البيانات في قاعدة البيانات,ΠΡΟΕΙΔΟΠΟΙΗΣΗ: Αυτό θα διαγράψει και θα αντικαταστήσει όλα τα δεδομένα στη βάση δεδομένων,警告：これによりデータベース内のすべてのデータが消去・置き換えられます,警告：這將刪除並取代資料庫中的所有資料,HOIATUS: See kustutab ja asendab kõik andmebaasis olevad andmed,605,,WARNING: This will erase and replace all the data in the database
PlatesCollarBarbell,"Plates, collar and barbell",,,"Discos, collarín, barra",,"Discos, collarines y barra","Discos, Collarin, Barra","Discos, collarín, barra","Haltère, disques et bagues","Barre, plaques et collet",,"Anilhas, Presilha e Barra",Количество дисков и вес грифа,"Scheiben, Verschluss und Hantel","Skivor, klovar och skivstång","Skiver, lås og stang","Levypainot, lukot ja tanko","Skiver, lås og stang","Plates, collar and barbell","Tárcsák, szorító és rúd","Discuri, bucșe și bară","Plates, collar and barbell","Կշռաքարեր, փականներ և ծանրաձող","פלטות, סוגר ומוט",الأقراص، الطوق والبار,"Κιλά, ασφάλειες και μπάρα",プレート、カラー、バーベル,槓片、鎖頭和槓鈴,"Kettad, lukk ja kang",606,,"Plates, collar and barbell"
Coach,Coach,,,Entrenador,,Entrenador,Entrenador,Entrenador,Entraîneur,,Coach,Treinador,Тренер,Trainer,Coach,Træner,Valmentaja,Trener,Coach,Edző,Antrenor,Trener,Մարզիչ,מאמן,المدرب,Προπονητής,コーチ,教練,Treener,607,,Coach
Custom1.Title,Additional Info 1,,,Información adicional 1,,Información adicional 1,Información adicional 1,Información adicional 1,Info 1,,,Informação Adicional 1,Отчество,Zusatzinfo 1,Ytterligare Info 1,Yderligere Info 1,Lisätieto 1,Ytterligere informasjon 1,Additional Info 1,További információ 1,Informații suplimentare 1,Additional Info 1,Մարզական կարգ,מידע נוסף 1,معلومات إضافية 1,Πρόσθετες πληροφορίες 1,追加情報1,額外資訊 1,Lisateave 1,608,,Additional Info 1
Custom2.Title,Additional Info 2,,,Información adicional 2,,Información adicional 2,Información adicional 2,Información adicional 2,Info 2,,,Informação Adicional 2,Разряд (звание),Zusatzinfo 2,Ytterligare Info 2,Yderligere Info 2,Lisätieto 2,Ytterligere informasjon 2,Additional Info 2,További információ 2,Informații suplimentare 2,Additional Info 2,Այլ տեղեկություն,מידע נוסף 2,معلومات إضافية 2,Πρόσθετες πληροφορίες 2,追加情報2,額外資訊 2,Lisateave 2,609,,Additional Info 2
SelectTemplate,Select Template,,,Seleccionar plantilla,,Seleccionar plantilla,Seleccionar plantilla,Seleccionar plantilla,Choisir le modèle de document,,,Selecione o Modelo,Выберите шаблон,Vorlage auswählen,Välj mall,Vælg skabelon,Valitse malli,Velg Mal,Select Template,Válasszon Sablont,Selectați șablon,Select Template,Ընտրել շաբլոնը,בחר תבנית,اختر قالب,Επιλέξτε Πρότυπο,テンプレートを選択,選擇樣板,Valige mall,610,,Select Template
Download,Download,,,Descargar,,Descargar,Descargar,Descargar,Télécharger,,,Download,Скачать,Download,Download,Download,Lataa,Last ned,Download,Letöltés,Descarca,Download,Ներբեռնել,הורד,تنزيل,Λήψη,ダウンロード,下載,Lae alla,611,,Download
NoAthletes,No Athletes,,,Sin Levantadores,,Sin levantadores,Sin Levantadores,Sin Levantadores,Aucun athlète,,,Nenhum Atleta,Нет спортсменов,Keine Athleten,Inga lyftare,Ingen atleter,Ei nostajia,Ingen utøvere,No Athletes,Nincsenek versenyzők,Fără sportivi,No Athletes,Մարզիկներ չկան,אין ספורטאים,لا رياضيين,Όχι Αθλητές,選手なし,沒有運動員,Spotlased puuduvad,612,,No Athletes
GroupSize,Size,,,Tamaño,,Tamaño,Tamaño,Tamaño,Taille,,,Tamanho,Кол-во человек в потоке,Größe,Storlek,Størrelse,Koko,Størrelse,Size,Méret,Mărimea,Size,Չափ,גודל,الحجم,Μέγεθος,サイズ,數量,Suurus,613,,Size
Default,Default,,,Por Defecto,,Defecto,Defecto,Por Defecto,Défaut,,,Padrão,Default,Standard,Default,Default,Oletusarvo,Standard,Default,Alapértelmezett,Mod implicit,Default,Լռելյայն,ברירת מחדל,افتراضي,Αθέτηση,デフォルト,預設,Vaikimisi,614,,Default
CeremonyType.MEDALS,Medals,,,Medallas,,Medallas,Medallas,Medallas,Médailles,,,Medalhas,Награждение,Medaillen,Medaljer,Medaljer,Mitalit,Medaljer,Heiðursmerkir,Érmek,Medalii,Medals, Պարգևատրում,מדליות,الميداليات,Μετάλλια,メダル,獎牌,Medalid,615,,Medals
PublicMsg.Medals,Medal Ceremony,,,Entrega de Medallas,,Entrega de Medallas,Entrega de Medallas,Entrega de Medallas,Remise de médailles,,,Cerimônia de Premiação,Церемония награждения,Siegerehrung,Prisceremoni,Præmieoverrækkelse,Mitaliseremonia,Medaljeseremoni,Medal Ceremony,Éremátadási ceremónia,Ceremonia de medaliere,Medal Ceremony,🏆🏅ՊԱՐԳԵւԱՏՐՈւՄ🏅🏆,טקס הענקת מדליות,مراسم توزيع الميداليات,Τελετή Μεταλλίων,表彰式,頒獎典禮,Medalitseremoonia,616,,Medal Ceremony
OBS.MonitoringButton,Status Monitor,,,Monitoreo del Estado,,Monitoreo del Estado ,Monitoreo del Estado,Monitoreo del Estado,Suivre le statut courant,,,Monitor de Status,Монитор состояния,Status Monitor,Monitorstatus,Status Monitor,Tilanne näyttö,Status Monitor,Status Monitor,Állapotfigyelő,Monitor de stare,Status Monitor,Կարգավիճակի էկրան,צג סטטוס,زر مراقبة الحالة,Παρακολούθηση κατάστασης,ステータスモニター,狀態監視器,Oleku jälgimine,617,,Status Monitor
BreakType.GROUP_DONE,Session Done,,,Tanda Lista,,Tanda Lista,Grupo Listo,Tanda Lista,Plateau terminé,Session terminée,,Sessão Encerrada,Выступление завершено,Gruppe fertig,Gruppen är klar.,Session afsluttet,Ryhmä valmis,Pulje ferdig,Session Done,Csoport kész,Sesiunea gata,Group Done,Մրցելույթը ավարտված է,מקצה הסתיים,الجلسة مكتملة,Η συνεδρία ολοκληρώθηκε,セッション終了,場次結束,Grupp lõpetanud,618,,Session Done
Group.Description,Description,,,Descripción,,Descripción,Descripción,Descripción,Description,Description,,Descrição,Описание потока,Beschreibung,Beskrivning,Beskrivelse,Kuvaus,Beskrivelse,Description,Leírás,Descriere,Description,Խմբի նկարագրություն,תיאור,الوصف,Περιγραφή,説明,說明,Kirjeldus,619,,Description
SelectAgeGroup,Select Age Group,,,Seleccionar Grupo de Edad,,Seleccionar Grupo de Edad,Seleccionar Grupo de Edad,Seleccionar Grupo de Edad,Groupe d'âge,Groupe d'âge,,Selecionar a faixa etária,Выберите возрастную группу,Alterklasse auswählen,Select Age Group,Vælg aldersgruppe,Valitse Ikäryhmä,Velg Aldersgruppe,Select Age Group,Válassza a Korcsoport lehetőséget,Selectați Grup de vârstă,Select Age Group,Ընտրել տարիքային խումբը,בחר קבוצת גיל,اختر المجموعة العمرية,Επιλέξτε Ηλικιακή ομάδα,年齢区分を選択,選擇年齡組,Valige vanuserühm,620,,Select Age Group
Settings.TurnOnSound,Emit warning sounds,,,Emitir sonidos de advertencia,,Emitir sonidos de advertencia,Emitir sonidos de advertencia,Emitir sonidos de advertencia,Émettre avertissements sonores,,,Emite sons de advertência,Включить предупреждающие звуки,Warntöne ausgeben,Emit warning sounds,Udsend lyd (signaler),Lähettää varoitusääniä,Send ut varsellyder,Emit warning sounds,Adjon ki figyelmeztető hangokat,Emite sunete de avertizare,Emit warning sounds,Միացնել զգուշացնող ազդանշաններ,הפק צלילי אזהרה,تفعيل أصوات التحذير,Εκπέμπουν προειδοποιητικούς ήχους,警告音を鳴らす,發出警告聲音,Kasuta hoiatushelisid,621,,Emit warning sounds
Settings.TurnOffSound,Turn off warning sounds,,,Desactivar sonidos de advertencia,,Desactivar sonidos de advertencia,Desactivar sonidos de advertencia,Desactivar sonidos de advertencia,Ne pas émettre d'avertissements sonores,,,Desativar sons de advertência,Отключить предупреждающие звуки,Warntöne ausschalten,Stänger av varningsljud,Slå lyd (signaler) fra,Sammuta varoitusäänet,Slå av varsellyder,Turn off warning sounds,Kapcsolja ki a figyelmeztető hangokat,Oprește sunetul de avertizare,Turn off warning sounds,Անջատել զգուշացնող ազդանշանները,השתק צלילי אזהרה,إيقاف أصوات التحذير,Απενεργοποιήστε τους προειδοποιητικούς ήχους,警告音を消す,關閉警告聲音,Lülita hoiatushelid välja,622,,Turn off warning sounds
NoGroup,No Session,,,Sin Tanda Seleccionada,,Sin Tanda Seleccionada,Sin Grupo Seleccionado,Sin Tanda Seleccionada,Pas de plateau,Pas de session,,Nenhuma Sessão,Без потока,Keine Gruppe,Ingen grupp,Ingen session,Ei Ryhmää,Ingen pulje,No Session,Nincs csoport,Fără sesiune,No Group,Առանց խմբի,אין מקצה,لا توجد جلسة محددة,Καμία συνεδρία,セッションなし,無場次,Grupp puudub,623,,No Session
BreakButton.SummonReferees,Call Referee(s),,,Llamar Árbitro(s),,Llamar juez (jueces),Llamar árbitro(s),Llamar Árbitro(s),Appeler arbitre(s),,,Chamar Árbitro(s),Вызов судей на помосте к столу жюри,Kampfrichter rufen,Kalla på domare,Kald på dommer(-e),Kutsu tuomari(-t),Tilkall dommer(e),Call Referee(s),Bíró(k) hívása,Apelați arbitrul(ii),Call Referee(s),Կանչել մրցավարներին ժյուրիի սեղան,קרא לשופט/ים,استدعاء الحكم,Κλήση διαιτητή(ων),審判を呼び出す,召喚裁判,Kutsu kohtunik(ud),624,,Call Referee(s)
Competition.decisionRequestDelayLabel,Referee Decision Reminder Delay (ms),,,Retardo del recordatorio de la decisión del árbitro (ms),,Recordatorio de retrasoe en la decisión del Juez (ms),Retraso del recordatorio de la decisión del árbitro (ms),Retardo del recordatorio de la decisión del árbitro (ms),Délai pour sonnerie de rappel de décision (ms),,,Atraso do Lembrete de Decisão do Árbitro (ms),Задержка напоминания о решении судьи (в миллисекундах),Verzögerung der Kampfrichterentscheidungserinnerung (ms),Domarbeslut Reminder Delay (ms),Referee Decision Reminder Delay (ms),Erotuomarin päätösmuistutuksen viive (ms),Påminnelse for dommeravgjørelse (ms),Referee Decision Reminder Delay (ms),Bírók döntésre emlékeztető késleltetés (ms),Întârziere pentru reamintirea deciziei arbitrului (ms),Referee Decision Reminder Delay (ms),Մրցավարի որոշման հիշեցման ուշացում (միկրովայրկյաններով),השהיית תזכורת להחלטת שופט (ms),تأخير تذكير قرار الحكم (بالمللي ثانية),Υπενθύμιση απόφασης κριτή (ms),審判判定リマインダー遅延（ミリ秒）,裁判決定提醒延遲（毫秒）,Kohtuniku otsuse meeldetuletuse viivitus (ms),625,,Referee Decision Reminder Delay (ms)
JuryNotification.END_CALL_REFEREES,End of referee discussion. Competition resumes.,,,Fin de la discusión con los árbitros. Se reanuda la competencia.,,Fin de la discusión con los jueces. Se reanuda la competición.,Fin de la discusión del árbitro. Se reanuda la competencia.,Fin de la discusión con los árbitros. Se reanuda la competencia.,Discussion terminée. Reprise de la compétition.,,,Os árbitros são chamados para a mesa do Júri,Соревнования продолжаются,Kampfrichter werden an den Jury-Tisch gerufen,Domarna kallas till Jurybordet.,Konkurrencen genoptages,Tuomarikeskustelun loppu. Kilpailu jatkuu.,Dommerdiskusjon avsluttet. Konkurransen gjenopptas.,End of referee discussion. Competition resumes.,A Bírói tanácskozás vége. A verseny folytatódik.,Sfârșitul discuției arbitrilor. Competiția se reia.,End of referee discussion. Competition resumes.,ՄՐՑՈՒՄՆԵՐԸ ՇԱՐՈՒՆԱԿՎՈՒՄ ԵՆ,סוף דיון ועדת שופטים. התחרות מתחדשת.,انتهاء مناقشة الحكم. استئناف المنافسة.,Τέλος συζήτησης διαιτησίας. Συνεχίζεται ο διαγωνισμός.,審判の協議が終了しました。試合を再開します,裁判討論結束。比賽恢復。,Kohtunike arutelu lõpp. Võistlus jätkub.,626,,End of referee discussion. Competition resumes.
JuryNotification.START_DELIBERATION,Jury Deliberation Started,,,Se inició la deliberación del jurado,,Se inició la deliberación del jurado,Se inició la deliberación del jurado,Se inició la deliberación del jurado,Délibération du jury.,,,Deliberação do Júri Iniciada,Жюри стоп,Juryberatung gestartet,Juryn har påbörjat diskussion,Jury votering startet,Jury käsittely alkoi,Jurydiskusjon startet,Jury Deliberation Started,Elkezdődött a zsűri tanácskozása,Deliberarea juriului a început,Jury Deliberation Started,Ժյուրիի քննարկումը սկսվեց,התחיל דיון ועדת השופטים,بدء تداول الهيئة التحكيمية,Ξεκίνησε η συζήτηση της κριτικής επιτροπής,ジュリーの協議を開始しました,審判開始協商,Žürii arutelu algas,627,,Jury Deliberation Started
JuryNotification.END_DELIBERATION,End of Jury Deliberation,,,Fin de la deliberación del jurado,,Fin de la deliberación del jurado,Fin de la deliberación del jurado,Fin de la deliberación del jurado,Fin de la délibération.,,,Fim da Deliberação do Júri,Соревнования продолжаются,Ende der Jury-Beratung,Juryn har diskuterat klart.,Jury votering afsluttet,Juryn käsittely päättyi,Slutt på jurydiskusjon,End of Jury Deliberation,A zsűri tanácskozásának vége,Sfârșitul deliberării juriului,End of Jury Deliberation,Ժյուրիի քննարկման ավարտը,סוף דיון ועדת השופטים,انتهاء تداول الهيئة التحكيمية,Τέλος συζήτησης της κριτικής επιτροπής,ジュリーの協議が終了しました,審判協商結束,Žürii arutelu lõpp,628,,End of Jury Deliberation
JuryNotification.TECHNICAL_PAUSE,Jury Technical Break,,,Inconveniente Técnico,,Pausa técnica del Jurado,Inconveniente Técnico,Inconveniente Técnico,Pause technique (Jury),,,Problema Técnico,Техническая пауза,Technischer Fehler,Tekniska problem,Tekniske problemer,Jury Tekninen tauko,Teknisk jury pause,Jury Technical Break,Zsűri technikai szünet,Pauza tehnică a juriului,Jury Technical Break,Տեխնիկական դադար,הפסקה טכנית של ועדת השופטים,استراحة فنية للجنة التحكيم,Τεχνικό διάλειμμα της κριτικής επιτροπής,ジュリーによるテクニカルブレイク,審判技術暫停,Žürii tehniline paus,629,,Jury Technical Break
JuryNotification.END_TECHNICAL_PAUSE,End of Jury Technical Break. Competition resumes.,,,Fin de la pausa técnica,,Fin de la pausa técnica,Fin de la pausa técnica,Fin de la pausa técnica,Fin de la pause technique du Jury. Reprise de la compétition.,,,Fim do Intervalo Técnico,Соревнования продолжаются,Ende der technischen Unterbrechung,Slut på teknisk paus,Technical Break er afsluttet,Juryn teknisen tauon päättyminen. Kilpailu jatkuu.,Slutt på teknisk pause. Konkurransen gjenopptas.,End of Jury Technical Break. Competition resumes.,Vége a zsűri technikai szünetének. A verseny folytatódik.,Sfârșitul pauzei tehnice a juriului. Competiția se reia.,End of Jury Technical Break. Competition resumes.,Տեխնիկական դադարի ավարտը,סוף הפסקה טכנית של ועדת השופטים. התחרות מתחדשת.,انتهاء الاستراحة الفنية. استئناف المنافسة.,Τέλος του τεχνικού διαλείμματος της κριτικής επιτροπής. Συνεχίζεται ο διαγωνισμός.,テクニカルブレイクが終了しました。試合を再開します,審判技術暫停結束。比賽恢復。,Žürii tehnilise pausi lõpp. Võistlus jätkub.,630,,End of Jury Technical Break. Competition resumes.
JuryNotification.END_JURY_BREAK,Resume Competition,,,Reanudar la competencia,,Reanudar la competición,Reanudar la competencia,Reanudar la competencia,Reprendre la compétition,,,Retomar a Competição,Обсуждение жюри и судей на помосте завершено,Wettkampf fortsetzen,Sätt igång tävlingen igen,Genoptag konkurrencen,Kilpailu jatkuu,Gjenoppta konkurransen,Resume Competition,Verseny folytatása,Reluați competiția,Resume Competition,Վերսկսել մրցույթը,חדש את התחרות,استئناف المنافسة,Βιογραφικό Διαγωνισμό,試合を再開,恢復比賽,Jätka võistlusega,631,,Resume Competition
JuryNotification.PleaseSeeJury,Please see Jury,,,Por favor ver Jurado,,Por favor ver Jurado,Por favor vea Jurado,Por favor ver Jurado,SVP voir Jury,,,"Por favor, olhar para o Júri",Вас вызывает жюри,Siehe Jury,Gå till juryn,Konsultér Juryen,Katso Jury,Se juryen,Please see Jury,"Kérjük, konzultáljon a zsűrivel",Vă rugăm să consultați juriul,Please see Jury,Ժյուրին կանչում է ձեզ,אנא ראה ועדת שופטים,يرجى مراجعة الهيئة التحكيمية,Δείτε την κριτική επιτροπή,ジュリーに確認してください,請看審判,Palun vaadake žüriid,632,,Please see Jury
JuryNotification.PleaseEnterDecision,Waiting for decision,,,Esperando decisión,,Esperando decisión,Esperando decisión,Esperando decisión,Décision attendue,,,Aguardando decisão,Ожидание решения,Warten auf Entscheidung,Väntar på beslut,Afventer afgørelse,Odottaa päätöstä,Venter på avgjørelse,Waiting for decision,Döntésre várva,În așteptarea deciziei,Waiting for decision,Սպասում է որոշման,מחכה להחלטה,في انتظار القرار,Εν αναμονή της απόφασης,判定を待っています,等待決定,Ootan otsust,633,,Waiting for decision
JuryNotification.Confirmed,Jury Confirmation,,,Confirmación del Jurado,,Confirmación del Jurado,Confirmación del Jurado,Confirmación del Jurado,Décision confirmée,,,Confirmação do Júri,Решение жюри,Bestätigung der Jury,Bekräftelse från Juryn,Jury bekræftelse,Jury vahvistus,Jurybekreftelse,Jury Confirmation,A zsűri döntés megerősítése,Confirmarea juriului,Jury Confirmation,Ժյուրիի հաստատում,אישור ועדת השופטים,تأكيد الهيئة التحكيمية,Επιβεβαίωση κριτικής επιτροπής,ジュリーの確認,審判同意判決,Žürii: otsus kinnitatud!,634,,Jury Confirmation
JuryNotification.Reversal,Jury REVERSAL,,,REVERSIÓN DEL Jurado,,REVOCACIÓN DEL Jurado,REVERSIÓN DEL Jurado,REVERSIÓN DEL JURADO,Décision RENVERSÉE,,,Reversão do Júri,Решение жюри,Die Jury ändert die Entscheidung,Juryn ändrar beslutet.,Juryen OMSTØDER,Jury MUUTOS,Juryen REVERSERING,Jury REVERSAL,Zsűri döntés VISSZAVONÁS,JURII ANULARE,Jury REVERSAL,Ժյուրիի ՎԵՐԱՆԱՅՈւՄ,ביטול ועדת השופטים,عكس قرار الهيئة التحكيمية,ΑΝΤΙΣΤΡΟΦΗ κριτικής επιτροπής,ジュリーの判定変更,審判推翻判決,Žürii: otsus ümberpöörata!,635,,Jury REVERSAL
JuryNotification.CallTechnicalController,Technical Controller is called to Jury table,,,El controlador técnico es llamado a la mesa del jurado,,El controlador técnico es llamado a la mesa del jurado,El controlador técnico es llamado a la mesa del jurado,El controlador técnico es llamado a la mesa del jurado,Le contrôleur technique est demandé à la table du jury,,,Controlador Técnico é chamado à mesa do Júri,Жюри вызывает технического контролера,Technischer Kontrolleur wird an den Jury-Tisch gerufen,Tekniska kontrollanten kallas till Jurybordet.,Technical Controller kaldt til Juryen,Tekninen tarkastaja on kutsuttu Jury-pöydälle,Teknisk kontrollør kalles til jurybordet,Technical Controller is called to Jury table,A technikai ellenőrt a zsűri az asztalához hívja,Controlorul tehnic este chemat la masa juriului,Technical Controller is called to Jury table,Ժյուրիի սեղան հրավիրվում է տեխնիկական հսկիչը,בקר טכני נקרא לשולחן ועדת השופטים,تم استدعاء المراقب الفني إلى طاولة الهيئة التحكيمية,Ο Τεχνικός Ελεγκτής καλείται στο τραπέζι της κριτικής επιτροπής,テクニカルコントローラーをジュリー席に呼び出し,訊號裝載錯誤,Tehniline kontroller kutsutakse žürii laua taha,636,,Technical Controller is called to Jury table
JuryNotification.GoodLift,{0}: Good Lift for {1} on attempt #{2},,,{0}: levantamiento válido para {1} en el intento n. ° {2},,{0}: levantamiento válido para {1} en el intento n. ° {2},{0}: levantamiento válido para {1} en el intento n. ° {2},{0}: Levantamiento válido para {1} en el intento n. ° {2},"{0}: Lever accepté pour {1}, essai #{1}",,,{0}: Movimento Válido Para {1} na Tentativa #{2},{0}: Подъем засчитан для {1} попытка №{2},{0}: Gültig für {1} auf Versuch #{2},{0}: Godkänt lyft för {1} i försök #{2},{0}: Løft godkendt for {1} i forsøg nr {2},{0}: Hyväksytty nosto {1} yritys #{2},{0}: Godkjent løft for {1} ved forsøk #{2},{0}: Good Lift for {1} on attempt #{2},{0}: Jó emelkedés {1} számára a {2} számú kísérletnél,{0}: Încercare reușită pentru {1} la încercarea #{2},{0}: Good Lift for {1} on attempt #{2},{0}: {1}ի  №{2} մոտեցումը հաշվվում է,{0}: ניסיון מוצלח עבור {1} בניסיון #{2},رفع مقبول لـ {1} في المحاولة رقم {2},{0}: Καλή ανύψωση για {1} στην προσπάθεια #{2},{0}: {1} の第 #{2}試技は「成功」です,{0}：{1} 第 #{2} 次試舉「成功」,{0}: {1} katse #{2} loeb!,637,,{0}: Good Lift for {1} on attempt #{2}
JuryNotification.BadLift,{0}: No Lift for {1} on attempt #{2},,,{0}: levantamiento nulo para {1} en el intento n.º {2},,{0}: levantamiento nulo para {1} en el intento n.º {2},{0}: levantamiento nulo para {1} en el intento n.º {2},{0}: Levantamiento nulo para {1} en el intento n.º {2},"{0}: Lever refusé pour {1}, essai #{1}",,,{0}: Movimento Inválido para {1} na Tentativa nº {2},{0}: Подъем не засчитан для {1} попытка №{2},{0}: Ungültig für {1} auf Versuch #{2},{0}: Icke godkänt lyft {1} i försök #{2},{0}: Løft underkendt for {1} i forsøg nr {2},{0}: Hylätty nosto {1} yritys #{2},{0}: Ingen løft for {1} ved forsøk #{2},{0}: No Lift for {1} on attempt #{2},{0}: Sikertelen gyakorlat az {1} kísérlet # {2},{0}: Încercare nereușită pentru {1} Încercare #{2},{0}: No Lift for {1} on attempt #{2},{0}: {1}ի  №{2} մոտեցումը չի հաշվվում,{0}: ניסיון לא מוצלח עבור {1} בניסיון #{2},رفع مرفوض لـ {1} في المحاولة رقم {2},{0}: Χωρίς ανύψωση για {1} στην προσπάθεια #{2},{0}: {1} の第 #{2}試技は「失敗」です,{0}：{1} 第 #{2} 次試舉「失敗」,{0}: {1} katse #{2} ei loe!,638,,{0}: No Lift for {1} on attempt #{2}
JuryNotification.LoadingError,Loading Error Decision Procedure,,,Procedimiento de decisión por error de carga,,Procedimiento de decisión de error de carga,Procedimiento de decisión de error de carga,Procedimiento de decisión por error de carga,Procédure de décision en cas d'erreur de chargement,,,Procedimento de decisão de erro de carregamento,Loading Error Decision Procedure,Fehlerentscheidungsverfahren laden,Klovningsfel! Beslutsprocess.,Loader Error Decision Procedure,Latausvirheen päätösmenettely,Laster feilbeslutningsprosedyre,Loading Error Decision Procedure,Betöltési hibával kapcsolatos döntési eljárás,Procedura de decizie a eroarii de încărcare,Loading Error Decision Procedure,Որոշման կայացման գործընթացի բեռնման սխալ,נוהל החלטה על שגיאת טעינה,إجراء قرار خطأ التحميل,Σφάλμα φόρτωσης Διαδικασία απόφασης,装填ミス判定手続き,載入錯誤決策程序,Veaotsingu programmi laadimine,639,,Loading Error Decision Procedure
JuryNotification.Confirmed,Jury Confirmation,,,Confirmación del Jurado,,Confirmación del Jurado,Confirmación del Jurado,Confirmación del Jurado,Décision confirmée,,,Confirmação do Júri,Решение жюри,Bestätigung der Jury,Bekräftelse från Juryn,Jury bekræftelse,Jury Vahvistus,Jurybekreftelse,Jury Confirmation,Zsűridöntés megerősítése,Confirmare decizie juriului,Jury Confirmation,ԺՅՈւՐԻԻ ՀԱՍՏԱՏՈւՄ,אישור ועדת השופטים,تأكيد الهيئة التحكيمية,Επιβεβαίωση κριτικής επιτροπής,ジュリーの確認,{0}：{1} 第 #{2} 試舉「判定維持」,Žürii: otsus kinnitatud!,640,,Jury Confirmation
JuryNotification.Reversal,Jury REVERSAL,,,REVERSIÓN DEL JURADO,,REVERSIÓN DEL JURADO,REVERSIÓN DEL JURADO,REVERSIÓN DEL JURADO,Décision RENVERSÉE,,,Reversão do Júri,Решение жюри,Jury ÜBERSTIMMUNG,Juryn ändrar beslutet.,Juryen OMSTØDER,Jury MUUTOS,Juryen REVERSERING,Jury REVERSAL,Zsűridöntés VISSZAVONÁS,ANULARE DECIZIE JURIU,Jury REVERSAL,ԺՅՈւՐԻԻ ՎԵՐԱՆԱՅՈւՄ,ביטול ועדת השופטים,عكس قرار الهيئة التحكيمية,ΑΝΤΙΣΤΡΟΦΗ κριτικής επιτροπής,ジュリーの判定変更,{0}：{1} 第 #{2} 試舉「判定推翻」,Žürii: otsus ümberpöörata!,641,,Jury REVERSAL
