key,en,hy,es,es_ES,es_SV,es_EC,fr,fr_CA,fr_FR,da,ru,uk,sv,de,pt,,xx,pl,key,en
CompetitionBook.MS_RightHeader,Men,Տղամարդիկ,Masculino,Masculino,,,Hommes,,,Mænd,Мужчины,Чоловіки,Herrar,männlich,Masculino,,318,Mężczyzni,CompetitionBook.MS_RightHeader,Men
CompetitionBook.MT_RightHeader,Men,Տղամարդիկ,Masculino,Masculino,,,Hommes,,,Mænd,Мужчины,Чоловіки,Herrar,männlich,Masculino,,319,Mężczyzni,CompetitionBook.MT_RightHeader,Men
CompetitionBook.MXT_RightHeader,Men,Տղամարդիկ,Masculino,Masculino,,,Hommes,,,Mænd,Мужчины,Чоловіки,Herrar,männlich,Masculino,,320,Men,CompetitionBook.MXT_RightHeader,Men
Gender.M,Men,Տղամարդիկ,Masculino,Masculino,,,Hommes,,,Mænd,Мужчины,Чоловіки,Herrar,männlich,Masculino,,321,Men,Gender.M,Men
CompetitionBook.MCT,Men - Combined Score,Տղամարդիկ - Կոմբինացված միավորներ,Puntuación combinada - Hombres,Puntuación combinada - Hombres,Puntaje combinado - Hombres,Puntaje combinado - Varones,Hommes - Pointage Combiné,,,Mænd - Kombineret Score,Мужчины - Комбинированные очки,Чоловіки - Комбіновані очки,Herrar - Kombinerad poäng,männlich - Berechnete Ergebnisse,Pontuação Masculina Combinada,,322,Mężczyźni - łączny wynik,CompetitionBook.MCT,Men - Combined Score
Results.MenPerTeam,Men per Team,Տղամարդիկ ՝ մեկ թիմի համար,Hombres por Equipo,Hombres por Equipo,,Varones por Equipos,Hommes par équipe,,,Men per Team,Men per Team,Чоловіків в команді,Antal herrar i laget,männlich pro Team,Homens por Equipe,,323,Men per Team,Results.MenPerTeam,Men per Team
Competition.mensTeamSize,"Men's ""Top Results"" Team Size","Տղամարդկանց «Լավագույն արդյունքները"" կազմի չափ","Hombres "" Resultados principales "" Tamaño del equipo","Hombres "" Resultados principales "" Tamaño del equipo",,"Varones "" Resultados principales "" Tamaño del Equipo",Taille d'équipe hommes (meilleurs résultats),,,"""Top Resultater"" Mænd Holdstørrelse",Мужчины/Лучший результат/Размер команды,Чоловіки. Кількість найкращих результатів в команді,"Herrar ""Top Results"" Lagstorlek","männlich ""Top Ergebnisse"" Mannschaftsgröße","""Melhores Resultados"" Masculinos - Tamanho da Equipe",,324,"Men's ""Top Results"" Team Size",Competition.mensTeamSize,"Men's ""Top Results"" Team Size"
CompetitionBook.MXT,Men's Custom Team Score,Տղամարդկանց օգտագործվող միավորներ,Puntuación Masculina Personalizada,Puntuación Masculina Personalizada,,,Hommes Pointage Spécial,,,Mænd Speciel Score,Мужчины - Пользовательские очки,Чоловіки - Користувацькі очки,Herrar anpassad poäng,männlich benutzerdefiniertes Ergebnis,Pontuação Masculina Personalizada,,325,Men's Custom Score,CompetitionBook.MXT,Men's Custom Score
CompetitionBook.M6,Men's Results,Արդյունք՝ տղաներ,Resultados Masculino,Resultados Masculino,,,Hommes 6 essais,,,Resultater Mænd,"Результаты, мужчины","Результати, чоловіки",Resultat herrar,Ergebnisse männlich,Resultado Masculino,,326,Wyniki mężczyzn,CompetitionBook.M6,Men's Results
CompetitionBook.MR,Men's Robi,"Ռոբի, տղամարդիկ",Robi Masculino,Robi Masculino,,,Hommes Robi,,,Robi Mænd,"Роби, мужчины","Робі, чоловіки",Herrar Robi,männlich Robi,Robi Masculino,,327,Punkty Robi Mężczyzn,CompetitionBook.MR,Men's Robi
CompetitionBook.MS,Men's Sinclair,"Սինկլեր, տղամարդիկ",Sinclair Masculino,Sinclair Masculino,,,Hommes Sinclair,,,Sinclair Mænd,"Синклер, мужчины","Сінклер, чоловіки",Herrar Sinclair,männlich Sinclair,Sinclair Masculino,,328,Punkty Sinclaira Mężczyzn,CompetitionBook.MS,Men's Sinclair
CompetitionBook.MSMF,Men's SMF,Սինկլեր տղամարդկանց,SMF Masculino,SMF Masculino,,,Hommes SMF,,,SMF Mænd,Синклер-Мужчины,SMF Чоловіки,Herrar SMF,männlich SMF,SMF Masculino,,329,Men's SMF,CompetitionBook.MSMF,Men's SMF
CompetitionBook.MT,Men's Total Score,Տղամարդիկ -  վերջնական միավորներ,Puntos Total Masculino,Puntos Total Masculino,,,Hommes Pointage Total,,,Total Score Mænd,Мужчины - итоговые очки,Чоловіки - підсумкові очки,Herrar total poäng,männlich Gesamtwertung,Pontuação Total Masculino,,330,Wynik mężczyzn,CompetitionBook.MT,Men's Total Score
CompetitionBook.MWCT_RightHeader,Men + Women,Տ+Կ,Masculino y Femenino,Masculino y Femenino,,,Hommes et Femmes,,,Mænd + Kvinder,М+Ж,Ч+Ж,Herrar + Damer,männlich und weiblich,Masculino e Feminino,,331,Mężczyźni i Kobiety,CompetitionBook.MWCT_RightHeader,Men&Women
CompetitionBook.MWT_RightHeader,Men+Women,Տղամարդկանց եւ կանանց համար,Masculino y Femenino,Masculino y Femenino,,,Hommes et Femmes,,,Mænd + Kvinder,Мужчины и женщины,Чоловіки та жінки,Herrar och Damer,männlich und weiblich,Masculino e Feminino,,332,Men&Women,CompetitionBook.MWT_RightHeader,Men&Women
Men + Women,Men+Women - Combined Score,Տ+Կ համակցված միավորներ,Masculino y Femenino - Puntuación Combinada,Masculino y Femenino - Puntuación Combinada,,,Hommes et Femmes - Pointage Combiné,,,Mænd + Kvinder - Kombineret Score,М+Ж комбинированные очки,Ч+Ж - Комбіновані очки,Herrar + Damer - Kombinerad poäng,männlich und weiblich - Berechnetes Ergebnis,Masculino e Feminino - Pontuação Combinada,,333,Mężczyźni i kobiety - łączny wynik,CompetitionBook.MWCT,Men&Women - Combined Score
MetalPlates,Metal Plates,Մետաղական կշռաքարեր,Pesas de metal,Pesas de metal,,,Plaques de métal,,Disques de métal,Små skiver,Маленькие диски,Маленькі диски,Viktskivor,Metallscheiben,Anilhas de Metal,,334,Metal Plates,MetalPlates,Metal Plates
MinimumAge,Minimum Age (incl.),Նվազագույն տարիք (ներառյալ):,Edad Mínima (incl.),Edad Mínima (incl.),Edad Minima (incl.),Edad Minima (incl.),Âge minimum (incl.),,Age minimum,Minimum Alder (inkl.),Минимальный возраст,Мін. вік (включно),Minimum Ålder (inkl.),Minimales Alter,Idade Minima,,335,Minimum Age (incl.),MinimumAge,Minimum Age (incl.)
MinimumWeight,Minimum Weight,Նվազագույն քաշը,Peso Máximo,Peso Máximo,,Peso Maximo,Poids minimum,,,Minimum vægt,Минимальный вес,Мінімальна вага,Minimum vikt,minimales Gewicht,Peso mínimo,,336,Minimum Weight,MinimumWeight,Minimum Weight
Card.name,Name,Անուն,Nombre,Nombre,,,Nom,,,Navn,"Фамилия, Имя",Ім’я,Namn,Name,Nome,,337,Nazwisko,Card.name,Name
Competition.competitionName,Name,Մրցումներ,Nombre,Nombre,,,Nom,,,Navn,Имя,Назва змагань,Namn,Name,Nome,,338,Nazwa,Competition.competitionName,Name
Name,Name,Անուն,Nombre,Nombre,,,Nom,,,Navn,Название,Назва,Namn,Name,Grupo,,339,Name,Name,Name
Scoreboard.Name,Name,"Ազգանուն, Անուն",Nombre,Nombre,,,Nom,,,Navn,"Фамилия, Имя","Прізвище, ім’я",Namn,Name,Nome,,340,Name,Scoreboard.Name,Name
Results.Name,Name,"Ազգանուն, Անուն",Nombre,Nombre,,,Nom,,,Navn,"Фамилия, Имя","Прізвище, ім’я",Namn,Name,Nome,,341,Name,Results.Name,Name
Scoreboard.NextAttempt,Next Attempt,Հաջորդ փորձ,Próximo Intento,Próx.,Proximo Intento,Próximo Intento,Prochain essai,,,Næste forsøg,Следующая попытка,Наступна спроба,Nästa försök,Nächster Versuch,Próxima Tentativa,,342,Next Attempt,Scoreboard.NextAttempt,Next Attempt
Results.NextAttempt,Next Attempt,Հաջորդ փորձ,Próximo Intento,Próximo Intento,Proximo Intento,,Prochain essai,,,Næste forsøg,Следующая попытка,Наступна спроба,Nästa försök,Nächster Versuch,Próxima Tentativa,,343,Next Attempt,Results.NextAttempt,Next Attempt
NoGroupSelected,No group selected,Խումբը ընտրված չէ,Sin Grupo Seleccionado,Sin Grupo Seleccionado,,,Pas de groupe sélectionné,,,Ingen gruppe valgt,Поток не выбран,Потік не обрано,Ingen grupp vald,Keine Gruppe ausgewählt,Nenhum grupo selecionado,,344,No group selected,NoGroupSelected,No group selected
No_weighed_in_athletes,No weighed-in athletes,Կշռում անցած մարզիկներ չկան,Atleta sin Peso,Atleta sin Peso,,,Pas d'athlètes pesés,,,Ikke-indvejede atleter,Нет спортсменов прошедших взвешивание,"Немає спортсменів, що пройшли зважування",Inga invägda lyftare,Nicht gewogen in Athleten,Nenhum Atleta Foi Pesado,,345,No weighed-in athletes,No_weighed_in_athletes,No weighed-in athletes
NonStandardBar,Non-Standard Bar,Ոչ ստանդարտ ծանրաձող,Barra no estándar,Barra no estándar,Barra no estandar,Barra no estandar,Barre non-standard,,,Ikke-standard Stang,Нестандартный гриф,Нестандартний гриф,Icke-standard skivstång,Keine Standard Hantel?,Barra não Padrão,,346,Non-Standard Bar,NonStandardBar,Non-Standard Bar
Competition.specialRulesTitle,Non-standard Rules,Ոչ ստանդարտ Օրենքները,Reglas no estándar,Reglas no estándar,,,Règles particulières,,,Non-standard Rules,Нестандартные правила,Нестандартні правила,Non-standard Rules,Keine Standard Regeln,Regras não padrão,,347,Non-standard Rules,Competition.specialRulesTitle,Non-standard Rules
none,none,ոչ ոք,ninguno,ninguno,,,aucun,,,ingen,ни один,жодний,ingen,keine,Nenhum,,348,none,none,none
Not_weighed,Not weighed,Չի անցել կշռումը,No Pesado,No Pesado,,,Non pesé,,,Ikke indvejet,Не прошел взвешивание,Не пройшов зважування,Ej invägd,Nicht gewogen,Não Pesado,,349,Not weighed,Not_weighed,Not weighed
Notes,Notes,Նշումներ,Notas,Notas,,,Notes,,,Notater,Заметки,Примітки,Anteckningar,Notizen,Notas,,350,Notes,Notes,Notes
Number,Number,Համար,Número,Número,,,Nº,,,Nummer,Рефери,Номер,Nummer,Nummer,Número,,351,Number,Number,Number
Results.Athletes,Number of Athletes,Մարզիկների քանակ,Número de levantadores,Número de levantadores,Número de Atletas,Número de Atletas,Nombre d'athlètes,,,Number of Athletes,Number of Athletes,Кількість спортсменів,Antal lyftare,Anzahl der Athleten,Número de Atletas,,352,Number of Athletes,Results.Athletes,Number of Athletes
Results.Teams,Number of Teams,Կազմերի քանակ,Número de equipos,Número de equipos,,,Nombre d'équipes,,,Number of Teams,Number of Teams,Кількість команд,Antal lag,Anzahl der Teams,Número de Equipes,,353,Number of Teams,Results.Teams,Number of Teams
Officials,Officials,պաշտոնյաները,Jueces,Jueces,Oficiales,Oficiales,Officiels,,,Officials,Officials,Посадові особи,Officials,Offizielle,Officials,,354,Officials,Officials,Officials
Division.OLY,Olympics,Օլիմպիական խաղերի,Olímpico,Olímpico,,,Olympiques,,,Olympisk,Olympics,Olympics,Olympics,Olympisch,Olímpica,,355,Olympics,Division.OLY,Olympics
Competition.rulesTitle,Options,Ընտրանքներ,Opciones,Opciones,,,Options,,,Indstillinger,Выбор,Опції,Options,Optionen,Opção,,356,Options,Competition.rulesTitle,Options
Competition.competitionOrganizer,Organizer,Կազմակերպիչ,Organizador,Organizador,,,Organisateur,,,Arrangør,Организатор,Організатор змагань,Arrangör,Veranstalter,Organizador,,357,Organizator,Competition.competitionOrganizer,Organizer
OWLCMS_Info,OWLCMS - About,OWLCMS - Ծրագրի մասին,OWLCMS - Acerca de,OWLCMS - Acerca de,,,OWLCMS - Info,,,OWLCMS - Om,OWLCMS - О системе,OWLCMS - Про систему,OWLCMS - Om,OWLCMS – Über,OWLCMS - Sobre,,358,OWLCMS - About,OWLCMS_Info,OWLCMS - About
OWLCMS_Displays,OWLCMS - Displays,OWLCMS - Էկրան,OWLCMS - Monitor,OWLCMS - Monitor,,,OWLCMS - Affichages,,,OWLCMS - Displays,OWLCMS - Экраны,OWLCMS - Табло,OWLCMS - Skärmar,OWLCMS - Anzeigen,OWLCMS - Exibe,,359,OWLCMS - Displays,OWLCMS_Displays,OWLCMS - Displays
OWLCMS_Home,OWLCMS - Home,OWLCMS - Գլխավոր,OWLCMS - Inicio,OWLCMS - Inicio,,,OWLCMS - Accueil,,,OWLCMS - Hjem,OWLCMS - Главная,OWLCMS - Головна,OWLCMS - Hem,OWLCMS - Home,OWLCMS - Início,,360,OWLCMS - Home,OWLCMS_Home,OWLCMS - Home
OWLCMS_Lifting,OWLCMS - Lifting,OWLCMS - Խումբ,OWLCMS - Levantamiento,OWLCMS - Levantamiento,,,OWLCMS - Groupe,,,OWLCMS - Afvikling,OWLCMS - Поток,OWLCMS - Потік,OWLCMS - Lyftning,OWLCMS - Heben,OWLCMS - Levantamento,,361,OWLCMS - Lifting,OWLCMS_Lifting,OWLCMS - Lifting
OWLCMS_Top,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Ծանրամարտի մրցումների կառավարման էլեկտրոնային համակարգ (Ա․Մ․),OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Olympic Weightlifting Competition Management System,,,OWLCMS - Gestion de compétition d'haltérophilie,,,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Управление соревнованиями по тяжелой атлетике,OWLCMS - система керування змаганнями з важкої атлетики,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS - Sistema de Gerenciamento de Competição de Levantamento de Pesos,,362,OWLCMS - Olympic Weightlifting Competition Management System,OWLCMS_Top,OWLCMS - Olympic Weightlifting Competition Management System
OWLCMS_Preparation,OWLCMS - Preparation,OWLCMS - Պատրաստում,OWLCMS - Preparación,OWLCMS - Preparación,,,OWLCMS - Préparation,,,OWLCMS - Forberedelse,OWLCMS - Подготовка,OWLCMS - Підготовка,OWLCMS - Förberedelser,OWLCMS - Vorbereitung,OWLCMS - Preparação,,363,OWLCMS - Preparation,OWLCMS_Preparation,OWLCMS - Preparation
OWLCMS_Results,OWLCMS - Results,OWLCMS - Արդյունքներ,OWLCMS - Resultados,OWLCMS - Resultados,,,OWLCMS - Résultats,,,OWLCMS - Resultater,OWLCMS - Результаты,OWLCMS - Результати,OWLCMS - Resultat,OWLCMS - Ergebnisse,OWLCMS - Resultados,,364,OWLCMS - Results,OWLCMS_Results,OWLCMS - Results
OwlcmsBuild,OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),,,OWLCMS v{0} ({1}),,,OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),OWLCMS v{0} ({1}),OWLCMS v {0} ({1}),,365,OWLCMS v{0} ({1}),OwlcmsBuild,OWLCMS v{0} ({1})
Config.PasswordOrPIN,Password,Գաղտնաբառ,Password,Password,,,Mot de passe,,,Password,Пароль,Пароль,Password,Passwort,Senha,,366,Password,Config.PasswordOrPIN,Password
EVENT_BreakPaused,pause break,ընդմիջում,pausa descanso,pausa descanso,,,interrompre la pause,,,pause sat i bero,пауза в перерыве,зупинити перерву,avbrott i pausen,Pause Unterbrechung,Pausa Intervalo,,367,pause break,EVENT_BreakPaused,pause break
PauseCountdown,Pause Break Countdown Timer,Կանգնեցնել ժամաչափը,Pausa cronómetro de cuenta regresiva,Pausa cronómetro de cuenta regresiva,Pausa temporizador de cuenta regresiva,Pausa reloj de cuenta regresiva,Stopper le chrono de pause,,,Pause Countdown Timer,Остановить таймер,Зупинити таймер,Paus klocka,Pause Break Countdown Uhr,Pausa Pausa Temporizador,,368,Pause Break Countdown Timer,PauseCountdown,Pause Break Countdown Timer
BreakButton.Paused,Paused,Դադար,Pausado,Pausado,,,En pause,,,Pause,Пауза,Пауза,Pausad,Unterbrochen,Pausado,,369,Paused,BreakButton.Paused,Paused
Plates,Plates,Կշռաքարեր,Pesas,Pesas,,,Plaques,,Disques,Skiver,Диски,Диски,Viktskivor,Scheiben,Pesos,,370,Plates,Plates,Plates
PlatesDisplay,Plates Display,Կշռաքարերի էկրան,Monitor Discos,Monitor Discos,,,Plaques,,Disques,Skive display,Диски,Диски,Viktskivor Skärm,Scheiben Anzeige,Exibição das Anilhas,,371,Plates Display,PlatesDisplay,Plates Display
Platform,Platform,Մրցահարթակ,Tarima,Tarima,,Plataforma,Plateau,,,Platform,Помост,Поміст,Plattform,Bohle,Plataforma,,372,Platform,Platform,Platform
STATE_INACTIVE,platform is inactive,Հարթակը ակտիվացված չէ,la tarima está inactiva,la tarima está inactiva,la plataforma está inactiva,la plataforma está inactiva,la plateforme est inactive,,,platformen er inaktiv,помост не задействован,поміст неактивний,platform är inaktiv,Bohle ist nicht aktiv,Plataforma está inativa,,373,platform is inactive,STATE_INACTIVE,platform is inactive
PlatformName,Platform Name,Հարթակի անունը,Nombre de la tarima,Nombre de la tarima,,Nombre de la plataforma,Nom de la plateforme,,,Platform Navn,Название помоста,Назва помосту,Plattforms namn,Bohlen Name,Nome da Plataforma,,374,Platform Name,PlatformName,Platform Name
Preparation_Platforms,Platforms,Մրցահարթակներ,Tarimas,Tarimas,Plataformas,Plataformas,Plateformes,,,Platforme,Помосты,Помости,Plattformar,Bohlen,Plataformas,,375,Platforms,Preparation_Platforms,Platforms
PleaseFix,Please fix the errors and try again.,Խնդրում ենք ուղղել սխալները եւ կրկին փորձեք:,Por favor corrija los errores e intente nuevamente,Por favor corrija los errores e intente nuevamente,,,Veuillez corriger les erreurs et réessayer.,,,Ret venligst fejlene og prøv igen,"Пожалуйста, исправьте ошибки и попробуйте снова.","Будь ласка, виправте помилки і спробуйте знову.",Rätta till felen och försök igen,Fehler beheben und nochmal versuchen,Por favor corrija os erros e tente novamente.,,376,Please fix the errors and try again.,PleaseFix,Please fix the errors and try again.
ResetCategories.PleaseSelectDefinitionFile,Please select a definition file,"Խնդրում ենք, ընտրեք տարբերակման ֆայլը",Por favor seleccione un archivo de definición,Por favor seleccione un archivo de definición,,,Choisir un fichier de définition.,,,Vælg venligst en Definitionsfil,"Пожалуйста, выберите файл определения","Будь ласка, оберіть файл з визначеннями",Vänligen välj en definitionsfil,Bitte wählen Sie eine Definitionsdatei,"Por favor, selecione um arquivo de definição",,377,Please select a definition file,ResetCategories.PleaseSelectDefinitionFile,Please select a definition file
Select_group_first,Please select a group first.,Ընտրեք խումբը,"Por favor, selecciona primero una tanda.","Por favor, selecciona primero una tanda.",,,Il faut d'abord choisir un groupe.,,,Vælg en gruppe først.,Выберите поток.,Оберіть потік.,Vänligen välj grupp först.,Bitte erst eine Gruppe wählen,"Por favor, selecione um grupo em primeiro lugar.",,378,Please select a group first.,Select_group_first,Please select a group first.
ERROR_WAIT_FOR_RESET,Please wait until decision has been shown. Do not start time when decision is still visible.,"Խնդրում ենք սպասել, մինչ մրցավարի որոշումը կցուցադրվի: Մի սկսեք հետհաշվարկը, երբ որոշումը դեռ ցուցադրված չէ:",Espere hasta que se muestre el veredicto. No comience el tiempo cuando el veredicto aún es visible.,Espere hasta que se muestre el veredicto. No comience el tiempo cuando el veredicto aún es visible.,Espere hasta que se muestre la decisión. No comience la hora cuando la decisión aún es visible.,Espere hasta que se muestre la decisión. No inicie el reloj cuando la decisión aún es visible.,SVP attendre que la décision ait été vue. Ne pas démarrer le chrono quand la décision est visible.,,,Vent venligst indtil afgørelsen er blevet vist. Start ikke uret mens afgørelsen stadig er synlig,"Пожалуйста, подождите, пока решение рефери отобразится. Не запускайте время, когда решение всё ещё отображается.","Будь ласка, зачекайте поки рішення рефері не зникне. Не запускайте таймер, коли рішення все ще відображається.",Vänta tills domarbesluten syns. Starta inte klockan under tiden domarbesluten syns.,Bitte warten bis die Wertung angezeigt wurde. Die Zeit nicht starten wenn die Wertung noch sichtbar ist.,Aguarde até que a decisão seja mostrada. Não inicie a hora quando a decisão ainda estiver visível.,,379,Please wait until decision has been shown. Do not start time when decision is still visible.,ERROR_WAIT_FOR_RESET,Please wait until decision has been shown. Do not start time when decision is still visible.
Scoreboard.Points,Points,Միավորներ,Puntos,Puntos,,,Points,,,Point,Баллы,Бали,Poäng,Punkte,Pontos,,380,Points,Scoreboard.Points,Points
TeamResults.Points,Points,Միավորներ,Puntos,Puntos,,,Points,,,Point,Баллы,Бали,Poäng,Punkte,Pontos,,381,Points,TeamResults.Points,Points
Results.Points,Points,Միավորներ,Puntos,Puntos,,,Points,,,Point,Баллы,Бали,Poäng,Punkte,Pontos,,382,Points,Results.Points,Points
Results.PointsScored,Points scored for Team,Թիմի համար վաստակած միավորները,Puntuación Equipo,Puntuación Equipo,Puntos acumulados por Equipo,Puntos acumulados por Equipo,Points marqués pour l'équipe,,,Points scored for Team,Points scored for Team,Набрано балів для команди,Lagpoäng,Gewertete Punkte für das Team,Pontos Marcados para a Equipe,,383,Points scored for Team,Results.PointsScored,Points scored for Team
PreCompetitionSetup,Pre-competition setup,Պատրաստում մրցումներին,Configuración Previa a la Competición,Configuración Previa a la Competición,Configuración Previa a la Competencia,Configuración Previa a la Competencia,Préparation de la compétition,,,Pre-competition setup,Подготовка соревнований,Налаштування змагань,Inställningar före tävlingen,Setup vor dem Wettkampf,Configuração (Pré-Competição),,384,Pre-competition setup,PreCompetitionSetup,Pre-competition setup
Preferences,Preferences,Նախընտրելի,Preferencias,Preferencias,,,Préférences,,,Præferencer,Предпочтения,Уподобання,Inställningar,Einstellungen,Preferências,,385,Preferences,Preferences,Preferences
PrepareCompetition,Prepare Competition,Պատրաստում,Preparar la Competición,Preparar la Competición,Preparar la Competencia,Preparar la Competencia,Préparer la compétition,,,Forbered konkurrence,Подготовка,Підготовка,Förbered tävling,Bereite Wettkampf vor,Preparar Competição,,386,Prepare Competition,PrepareCompetition,Prepare Competition
JuryPresident,president,նախագահ,Presidente,Presidente,,,président,,,Jury præsident,president,Голова журі,Jurypresident,Präsident,Presidente,,387,president,JuryPresident,president
Print,Print,Տպել,Imprimir,Imprimir,,,Imprimer,,,Print,Печатать,Друк,Skriv ut,Drucke,Imprimir,,388,Print,Print,Print
ProduceResults,Produce Results,Պատրաստել արդյունքները,Producir Resultados,Producir Resultados,,,Produire les résultats,,,Udskriv resultater,Подготовить результаты,Підготувати результати,Skriv ut resultat,Erstelle Ergebnisse,Produzir Resultados,,389,Produce Results,ProduceResults,Produce Results
Competition.protocolFileName,Protocol Sheet Template,Գործող ամփոփագրի շաբլոն,Plantilla de protocolo,Plantilla de protocolo,,,Gabarit pour feuille de résultats,,,Protokol Skabelon,Шаблон рабочего протокола,"Шаблон робочого протоколу
",Protokollmall,Vorlage Protokoll,Modelo de folha de protocolo,,390,Szablon arkusza protokołu,Competition.protocolFileName,Protocol Sheet Template
Config.PublicResultsTitle,Public Results Scoreboard Coordinates,Հանրային արդյունքների ցուցատախտակի կոորդինատները,Coordenadas de Scoreboard para resultados públicos,Coordenadas de Scoreboard para resultados públicos,Coordenadas de Scroreboard para resultados públicos,Coordenadas de Scroreboard para resultados públicos,Coordonnées du tableau de résultats à distance,,,Public Results Scoreboard Koordinater,Публичные результаты / Табло результатов / Координаты,Публічне табло-протокол,Public Results Scoreboard Coordinates,Koordinaten der Ergebnistafel für öffentliche Ergebnisse,Coordenadas do painel de resultados públicos,,391,Public Results Scoreboard Coordinates,Config.PublicResultsTitle,Public Results Scoreboard Coordinates
Config.publicResultsURL,publicresults Cloud Application URL,Հանրային արդյունքներ - URL հասցե,publicresults Cloud Application URL,publicresults Cloud Application URL,,,URL pour application publicresults dans le cloud,,,publicresults Cloud Application URL,Публичные результаты — адрес URL облачного приложения,Адреса URL хмарного застосунку,publicresults Cloud Application URL,Öffentliche Ergebnisse Cloud-Anwendungs URL,Resultados públicos URL do aplicativo em nuvem,,392,publicresults Cloud Application URL,Config.publicResultsURL,publicresults Cloud Application URL
Rank,Rank,Տեղը,Posición,Posición,,Ubic.,Rang,,,Placering,Место,Місце,Placering,Platzierung,Classificação,,393,Rank,Rank,Rank
Scoreboard.Rank,Rank,Տեղը,Posición,Posición,,Ubic.,Rang,,,Placering,Место,Місце,Placering,Platz,Clas.,,394,Rank,Scoreboard.Rank,Rank
Results.Rank,Rank,Տեղը,Posición,Posición,,Ubic.,Rang,,,Placering,Место,Місце,Placering,Platz,Classificação,,395,Rank,Results.Rank,Rank
Results.TeamRank,Rank within Team,Տեղը՝ կազմում,Clasif. en el Equipo,Clasif. en el Equipo,Ranking por equipos,Ránking por equipos,Classement dans l'équipe,,,Plac. indenfor hold,Rank within Team,Місце в команді,Placering inom lag,Platzierung innerhalb des Teams,Classificação dentro da Equipe,,396,Rank within Team,Results.TeamRank,Rank within Team
DataRead,Read,Կարդալ,Leer,Leer,,,Lu,,,Læs,Чтение,Читання,Läs,Lese,Ler,,397,Read,DataRead,Read
ReadingData_,Reading the data,Կարդալ տվյալները,Leyendo los Datos,Leyendo los Datos,,,Lecture des données,,,Læser data,Чтение данных,Читання даних,Läser datan,Neueinlesen der Daten,Leitura dos dados,,398,Reading the data,ReadingData_,Reading the data
ResetCategories.ResetAthletes,Reassign athletes,Թարմացնել բաժինները,Reasignar Atletas,Reasignar Atletas,,,Réassigner les athlètes,,,Genberegn atleter,Обновить категории,Перепризначити спортсменів,Fördela om lyftarna,Neuberechnung der Gewichtsklassen,Reatribuir Atletas,,399,Reassign athletes,ResetCategories.ResetAthletes,Reassign athletes
ResetCategories.ResetCategories,Reassign categories,Բաժինների թարմացում,Reasignar Categorías,Reasignar Categorías,,,Réassigner les catégories,,,Genberegn kategorier,Обновление категорий,Перепризначити категорії,Fördela om viktklasserna,Neuberechnung der Gewichtsklassen,Reatribuir Categorias,,400,Reassign categories,ResetCategories.ResetCategories,Reassign categories
ResetCategories.ResetCategoriesMouseOver,Recompute categories based on currently active age groups.,Թարմացրեք բաժինները՝ ակտիվ տարիքային խմբերին համապատասխան,Recalcule las categorías según los grupos de edad actualmente activos.,Recalcule las categorías según los grupos de edad actualmente activos.,,,Recalculer les catégories sur la base des groupes d'âge activés.,,,Genberegn kategorier baseret på aktive alders grupper,Обновите категории на основе текущих активных возрастных групп.,Оновити категорії на основі активних вікових груп.,Fördela om viktklasserna utifrån nuvarande åldersgrupper,Berechnen Sie die Gewichtsklassen basierend auf den derzeit aktiven Altersklassen neu.,Recalcular as categorias com base nas faixas etárias atualmente ativas.,,401,Recompute categories based on currently active age groups.,ResetCategories.ResetCategoriesMouseOver,Recompute categories based on currently active age groups.
RecomputeRanks,Recompute Ranks,Տեղերի վերահաշվարկ,Recalcular Ranking,Recalcular Ranking,,,Recalculer les rangs,,,Genberegn placeringer,Перерасчёт мест,Перерахувати місця,Räkna om placeringarna,Platzierung neu berechnen,Recalcular Ranks,,402,Recompute Ranks,RecomputeRanks,Recompute Ranks
Referee,Referee,Մրցավար,Juez,Juez,,Árbitro,Arbitre,,,Dommer,Рефери,Рефері,Domare,Kampfrichter,Juiz,,403,Referee,Referee,Referee
Referee_Mobile_Device,Referee (on mobile devices),Մրցավար (բջջային սարքերի),Juez (para dispositivos móviles),Juez (para dispositivos móviles),,Árbitro (para dispositivos moviles),Arbitre (sur appareils mobiles),,,Dommer (til mobile enheder),Рефери (мобильное устройство),Рефері (мобільний пристрій),Domare (mobila enheter),Kampfrichter (an mobilen Geräten),Árbitro (Dispositivos Móveis),,404,Referee (on mobile devices),Referee_Mobile_Device,Referee (on mobile devices)
Referee1,Referee 1,Մրցավար 1,Juez 1,Juez 1,,Árbitro 1,Arbitre 1,,,Dommer 1,Рефери 1,Рефері 1,Domare 1,Kampfrichter 1,Árbitro 1,,405,Referee 1,Referee1,Referee 1
Referee2,Referee 2,Մրցավար 2,Juez 2,Juez 2,,Árbitro 2,Arbitre 2,,,Dommer 2,Рефери 2,Рефері 2,Domare 2,Kampfrichter 2,Árbitro 2,,406,Referee 2,Referee2,Referee 2
